categoria,nome,link
Apresentações Agence,Completa 2025,https://bit.ly/ApresentacaoCompleta2025
Apresentações Agence,Inteligência Artificial,https://1drv.ms/p/s!AkXiokxCMftNnPs5tLH1arwQt6qG6A?e=YpvvFR
Apresentações Agence,R&S 2025,https://1drv.ms/p/s!AkXiokxCMftNnKpNaO8VOIvXHI5MXA?e=GwhZ9Z
Apresentações Agence,RPA 2025,https://bit.ly/RPA-2025
Apresentações Agence,Espanhol 2021,https://bit.ly/4gDysLm
Apresentações Agence,Background Check,https://1drv.ms/p/s!AkXiokxCMftNnYQinKJuT6K49jnHWg?e=pXhKWR
Templates Apresentação de Proposta,Horas Abertas,https://bit.ly/horas-abertas-fabrica
Templates Apresentação de Proposta,Consultoria & Prototipagem,https://bit.ly/Consultoria-Requisitos-e-Prototipagem
Templates Apresentação de Proposta,Background Check,https://1drv.ms/p/s!AkXiokxCMftNnYUBgNcl4RfSchhyFA?e=vDnuKh
Templates Apresentação de Proposta,Desenv. de Software com IA,https://1drv.ms/p/s!AkXiokxCMftNnYYL6xqqCxKbUO7ZVw?e=XMwFaD

Cases de Sucesso, Hospital Albert Einstein, https://1drv.ms/p/s!AkXiokxCMftNnYcSekUojplNXIteug?e=4lcbn7

Certificações, Atestados de Capacidade Técnica, https://drive.google.com/file/d/1PGJQrneW3KuWg47HE8DazqG0GZ0z7XRq/view?usp=drive_link

Youtube Agence, Cronograma de Conteúdo, https://docs.google.com/spreadsheets/d/1CrUvIsk8fFyo3H4skdDG1vUOMkH4nHMjIpTsAETSZ_I/edit?usp=sharing
